country_id	country_name	country_name_url_encoded	country_url_full	country_url_part
186	Seychelles	Seychelles	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Seychelles	country_result.jsp?country=Seychelles
187	Sierra Leone	Sierra%20Leone	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sierra%20Leone	country_result.jsp?country=Sierra%20Leone
188	Singapore	Singapore	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Singapore	country_result.jsp?country=Singapore
189	Sint Maarten	Sint%20Maarten	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sint%20Maarten	country_result.jsp?country=Sint%20Maarten
190	Slovakia	Slovakia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Slovakia	country_result.jsp?country=Slovakia
191	Slovenia	Slovenia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Slovenia	country_result.jsp?country=Slovenia
192	Solomon Islands	Solomon%20Islands	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Solomon%20Islands	country_result.jsp?country=Solomon%20Islands
193	Somalia	Somalia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Somalia	country_result.jsp?country=Somalia
194	South Africa	South%20Africa	https://www.numbeo.com/cost-of-living/country_result.jsp?country=South%20Africa	country_result.jsp?country=South%20Africa
195	South Korea	South%20Korea	https://www.numbeo.com/cost-of-living/country_result.jsp?country=South%20Korea	country_result.jsp?country=South%20Korea
196	South Sudan	South%20Sudan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=South%20Sudan	country_result.jsp?country=South%20Sudan
197	Spain	Spain	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Spain	country_result.jsp?country=Spain
198	Sri Lanka	Sri%20Lanka	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sri%20Lanka	country_result.jsp?country=Sri%20Lanka
199	Sudan	Sudan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sudan	country_result.jsp?country=Sudan
200	Suriname	Suriname	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Suriname	country_result.jsp?country=Suriname
201	Swaziland	Swaziland	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Swaziland	country_result.jsp?country=Swaziland
202	Sweden	Sweden	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sweden	country_result.jsp?country=Sweden
203	Switzerland	Switzerland	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Switzerland	country_result.jsp?country=Switzerland
204	Syria	Syria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Syria	country_result.jsp?country=Syria
205	Taiwan	Taiwan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Taiwan	country_result.jsp?country=Taiwan
206	Tajikistan	Tajikistan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Tajikistan	country_result.jsp?country=Tajikistan
207	Tanzania	Tanzania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Tanzania	country_result.jsp?country=Tanzania
208	Thailand	Thailand	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Thailand	country_result.jsp?country=Thailand
209	Timor-Leste	Timor-Leste	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Timor-Leste	country_result.jsp?country=Timor-Leste
210	Togo	Togo	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Togo	country_result.jsp?country=Togo
